2014-11-20,1000000.0
2014-11-21,1000000.0
2014-11-24,998017.10389328
2014-11-25,1036649.3150024414
2014-11-26,1015216.3088645935
2014-11-28,985626.1406860352
2014-12-01,994813.6694793701
2014-12-02,990343.4152181149
2014-12-03,1090523.1644003391
2014-12-04,1059046.9299883842
2014-12-05,1009726.5172235966
2014-12-08,906864.6446228027
2014-12-09,930722.9461705685
2014-12-10,794607.6412968636
2014-12-11,835097.0189936161
2014-12-12,693300.2740664482
2014-12-15,610541.9996364117
2014-12-16,512319.62309265137
2014-12-17,835298.287535429
2014-12-18,996177.8244884014
2014-12-19,939303.6232454777
2014-12-22,1019749.82284379
2014-12-23,1074622.4611873627
2014-12-24,1059674.7017102242
2014-12-26,1085077.2032380104
2014-12-29,1069709.0297586918
2014-12-30,1051163.627120018
2014-12-31,989895.1443252563
2015-01-02,944208.7249202728
2015-01-05,844532.428930521
2015-01-06,726874.0459947586
2015-01-07,860623.9993610382
2015-01-08,1029463.12124753
2015-01-09,953221.2621469498
2015-01-12,866835.6689901352
2015-01-13,788429.7336409092
2015-01-14,726228.1447324753
2015-01-15,571274.373143673
2015-01-16,578429.1231791973
2015-01-20,565826.2186644077
2015-01-21,606435.4258253574
2015-01-22,672036.763805151
2015-01-23,663098.8418676853
2015-01-26,672550.2415144444
2015-01-27,567318.1965696812
2015-01-28,593381.4804363251
2015-01-29,744506.4424974918
2015-01-30,525063.7837536335
2015-02-02,574656.2676057816
2015-02-03,671282.8134353161
2015-02-04,746099.1893467903
2015-02-05,894566.5486636162
2015-02-06,935717.7939314842
2015-02-09,938963.4835522175
2015-02-10,1050323.6401760578
2015-02-11,1071178.931549549
2015-02-12,1165128.8032143116
2015-02-13,1087803.110594511
2015-02-17,1047857.3058428764
2015-02-18,1045490.4187014103
2015-02-19,1115358.5860660076
2015-02-20,1179963.7631423473
2015-02-23,1244968.2389361858
2015-02-24,1228599.9040904045
2015-02-25,1205351.1312539577
2015-02-26,1186422.8301489353
2015-02-27,1203004.162616253
2015-03-02,1350254.992045641
2015-03-03,1283508.9675302505
2015-03-04,1223168.307293892
2015-03-05,1271269.3955790997
2015-03-06,1164007.2317926884
2015-03-09,1269899.1665821075
2015-03-10,1152341.9989683628
2015-03-11,1098095.9822864532
2015-03-12,1182386.7883987427
2015-03-13,1175067.886404276
2015-03-16,1261479.5133647919
2015-03-17,1277641.6739137173
2015-03-18,1278417.0739786625
2015-03-19,1299753.9768795967
2015-03-20,1352299.856265068
2015-03-23,1311031.0262050629
2015-03-24,1227914.638404131
2015-03-25,999496.7391197681
2015-03-26,934994.7369086742
2015-03-27,1045042.2059640884
2015-03-30,1096230.7707362175
2015-03-31,1032826.7510299683
2015-04-01,1032050.5723283291
2015-04-02,1048552.2788693905
2015-04-06,1056912.0584750175
2015-04-07,1049644.6210913658
2015-04-08,1101878.9229118824
2015-04-09,1084922.5492105484
2015-04-10,1106334.8061714172
2015-04-13,1090827.9565443993
2015-04-14,1041857.330530405
2015-04-15,1075220.570622921
2015-04-16,976048.9352657795
2015-04-17,828287.4650690556
2015-04-20,841227.4685025215
2015-04-21,943538.636140585
2015-04-22,971076.1484942436
2015-04-23,982349.6335401535
2015-04-24,899077.32908988
2015-04-27,857441.5059001446
2015-04-28,889240.0513529778
2015-04-29,830255.7655870914
2015-04-30,819155.9331710339
2015-05-01,1010799.4650912285
2015-05-04,1080592.4892115593
2015-05-05,935484.204862833
2015-05-06,919690.8391113281
2015-05-07,1014364.2474930286
2015-05-08,978566.821542263
2015-05-11,1023820.0446197987
2015-05-12,980395.0414471626
2015-05-13,1012275.5096130371
2015-05-14,1112410.5002775192
2015-05-15,1008210.6829826832
2015-05-18,1072507.3463044167
2015-05-19,1132691.1306135654
2015-05-20,1140865.912356615
2015-05-21,1171516.2405455112
2015-05-22,1176619.795904398
2015-05-26,1149808.148324728
2015-05-27,1234770.965322733
2015-05-28,1290848.6717076302
2015-05-29,1262787.012209177
2015-06-01,1325615.0008420944
2015-06-02,1366569.0399625301
2015-06-03,1403109.9343454838
2015-06-04,1357335.7980127335
2015-06-05,1377639.7107896805
2015-06-08,1310470.4137759209
2015-06-09,1251259.1174545288
2015-06-10,1253439.31599164
2015-06-11,1247962.8895294666
2015-06-12,1229893.6522402763
2015-06-15,1206532.9211304188
2015-06-16,1357228.2730050087
2015-06-17,1434316.4428517818
2015-06-18,1526920.6759858131
2015-06-19,1628191.2423448563
2015-06-22,1603497.6776914597
2015-06-23,1542883.4240465164
2015-06-24,1473491.2204275131
2015-06-25,1525081.9700403214
2015-06-26,1351608.3308007717
2015-06-29,1152188.1873157024
2015-06-30,1218277.255420208
2015-07-01,1327471.7703142166
2015-07-02,1341854.069271326
2015-07-06,1215638.3530519009
2015-07-07,1133159.3595092297
2015-07-08,961263.4017856121
2015-07-09,887607.168952465
2015-07-10,948209.122446537
2015-07-13,978118.2670178413
2015-07-14,1131533.7111053467
2015-07-15,1145783.1181852818
2015-07-16,875913.1138576269
2015-07-17,811672.3612061739
2015-07-20,797141.3659950495
2015-07-21,698884.0131832361
2015-07-22,661463.9577542543
2015-07-23,743345.7302948236
2015-07-24,563326.6700171232
2015-07-27,501180.3425849676
2015-07-28,912820.7858611345
2015-07-29,1043488.1964002848
2015-07-30,1056043.015734911
2015-07-31,952515.0118629932
2015-08-03,920527.5478867292
2015-08-04,835339.4686514139
2015-08-05,858795.9371908903
2015-08-06,740749.1063870192
2015-08-07,886928.1172536612
2015-08-10,1034257.7023251057
2015-08-11,920039.1716709137
2015-08-12,907095.3071231842
